Feature,Chi-Square,p-Value
GLOBAL_SEARCH,52.18410576202457,0.9993561724693946
MEDIA_CONTENT_CONTROL,48.76926147665013,0.9998381333860868
BIND_WALLPAPER,45.07770000959283,0.9999714261246516
SET_ANIMATION_SCALE,31.6113780399654,0.9999999973955818
SYS_307,30.994378032923894,0.9999999985398385
BIND_TV_INPUT,29.59530325020866,0.9999999996320258
SYS_367,29.49743982705892,0.9999999996670461
Scanners,27.711205115311618,0.999999999950918
MOUNT_FORMAT_FILESYSTEMS,24.055783639746604,0.9999999999994668
ACTIVITY_RECOGNITION,23.39881923645524,0.9999999999997861
pipe,21.920698785153085,0.9999999999999759
READ_INPUT_STATE,21.130022737724904,0.9999999999999931
getcwd,18.036276482435937,1.0
REBOOT,16.63092583091641,1.0
CONTROL_LOCATION_UPDATES,16.309337233060955,1.0
SEND_RESPOND_VIA_MESSAGE,15.854968261647372,1.0
BROADCAST_WAP_PUSH,13.699733406402789,1.0
mremap,13.04565629069397,1.0
QUERY_ALL_PACKAGES,12.56255064758601,1.0
sched_getparam,12.293257091570599,1.0
sched_getscheduler,11.790839198439048,1.0
BIND_CHOOSER_TARGET_SERVICE,10.495141939125567,1.0
mlock,10.38895957444283,1.0
REQUEST_DELETE_PACKAGES,10.264365226050112,1.0
exit_group,9.258309727436592,1.0
MANAGE_DOCUMENTS,9.193247721629968,1.0
ACCESS_NOTIFICATION_POLICY,7.32447047858835,1.0
BIND_DREAM_SERVICE,7.080814805332679,1.0
SYS_346,5.860024077666832,1.0
INSTALL_LOCATION_PROVIDER,5.791682366090205,1.0
ACCESS_BACKGROUND_LOCATION,5.626859545936357,1.0
SET_ALARM,5.429835407388275,1.0
DUMP,5.078174931947985,1.0
ANSWER_PHONE_CALLS,4.843712026600807,1.0
USE_FULL_SCREEN_INTENT,4.593306016914946,1.0
INSTALL_SHORTCUT,4.498245071273388,1.0
UPDATE_DEVICE_STATS,3.635506351906501,1.0
sched_get_priority_min,3.589744348445987,1.0
sched_get_priority_max,3.589744348445987,1.0
BIND_NFC_SERVICE,3.5191700521977816,1.0
sched_setscheduler,3.151970647415991,1.0
MANAGE_OWN_CALLS,2.1013137649439915,1.0
BIND_TELECOM_CONNECTION_SERVICE,2.0137590247379937,1.0
mincore,1.4884305835019944,1.0
SYS_333,1.2257663628839957,1.0
epoll_wait,1.2257663628839957,1.0
SYS_335,1.1382116226779961,1.0
BLUETOOTH_PRIVILEGED,1.1382116226779961,1.0
BIND_AUTOFILL_SERVICE,1.0506568824719957,1.0
stat64,0.9631021422659959,1.0
chdir,0.9631021422659959,1.0
GET_ACCOUNTS_PRIVILEGED,0.9631021422659959,1.0
SYS_301,0.8755474020599968,1.0
rt_sigaction,0.7879926618539977,1.0
SET_DEBUG_APP,0.7879926618539977,1.0
BIND_TEXT_SERVICE,0.700437921647998,1.0
SYS_318,0.6128831814419978,1.0
SYS_308,0.6128831814419978,1.0
setxattr,0.6128831814419978,1.0
ACCESS_MEDIA_LOCATION,0.6128831814419978,1.0
clock_getres,0.5253284412359979,1.0
BIND_INCALL_SERVICE,0.4377737010299984,1.0
umask,0.4377737010299984,1.0
SYS_314,0.350218960823999,1.0
timer_settime,0.350218960823999,1.0
SET_PROCESS_LIMIT,0.26266422061799893,1.0
timer_create,0.26266422061799893,1.0
MASTER_CLEAR,0.26266422061799893,1.0
FACTORY_TEST,0.1751094804119995,1.0
getgroups32,0.1751094804119995,1.0
WRITE_GSERVICES,0.1751094804119995,1.0
BIND_SCREENING_SERVICE,0.1751094804119995,1.0
setitimer,0.1751094804119995,1.0
READ_PHONE_NUMBERS,0.1751094804119995,1.0
SIGNAL_PERSISTENT_PROCESSES,0.1751094804119995,1.0
brk,0.08755474020599975,1.0
LOCATION_HARDWARE,0.08755474020599975,1.0
INTERACT_ACROSS_PROFILES,0.08755474020599975,1.0
REQUEST_PASSWORD_COMPLEXITY,0.08755474020599975,1.0
times,0.08755474020599975,1.0
rt_sigsuspend,0.08755474020599975,1.0
BIND_MIDI_DEVICE_SERVICE,0.08755474020599975,1.0
sched_setaffinity,0.08755474020599975,1.0
sched_getaffinity,0.08755474020599975,1.0
READ_PRECISE_PHONE_STATE,0.08755474020599975,1.0
BIND_CARRIER_SERVICES,0.08755474020599975,1.0
SYS_328,0.08755474020599975,1.0
SYS_349,0.08755474020599975,1.0
SET_ALWAYS_FINISH,0.08755474020599975,1.0
Malware,,
execve,,
getresuid32,,
getresgid32,,
readahead,,
getpgid,,
getppid,,
getsid,,
setsid,,
setgid32,,
setuid32,,
setreuid32,,
setresuid32,,
setresgid32,,
getrusage,,
ugetrlimit,,
prlimit64,,
setgroups32,,
setpgid,,
setregid32,,
chroot,,
capget,,
capset,,
acct,,
pread64,,
pwrite64,,
preadv,,
pwritev,,
mlockall,,
munlockall,,
readv,,
pipe2,,
dup3,,
fchown32,,
sync,,
fsetxattr,,
fgetxattr,,
flistxattr,,
fremovexattr,,
openat,,
faccessat,,
fchmodat,,
fchownat,,
fstatat64,,
linkat,,
mkdirat,,
mknodat,,
readlinkat,,
renameat,,
symlinkat,,
unlinkat,,
utimensat,,
sendfile,,
truncate,,
truncate64,,
fallocate,,
fadvise64_64,,
mount,,
umount2,,
fchdir,,
lsetxattr,,
getxattr,,
lgetxattr,,
listxattr,,
llistxattr,,
removexattr,,
lremovexattr,,
swapon,,
swapoff,,
settimeofday,,
clock_settime,,
clock_nanosleep,,
getitimer,,
timer_gettime,,
timer_getoverrun,,
timer_delete,,
timerfd_create,,
timerfd_settime,,
timerfd_gettime,,
adjtimex,,
clock_adjtime,,
rt_sigpending,,
rt_sigtimedwait,,
rt_sigqueueinfo,,
signalfd4,,
getpeername,,
sendto,,
recvmsg,,
accept4,,
recvmmsg,,
sendmmsg,,
sched_setparam,,
sched_rr_get_interval,,
setns,,
unshare,,
getcpu,,
reboot,,
init_module,,
delete_module,,
syslog,,
personality,,
tee,,
splice,,
vmsplice,,
epoll_create1,,
epoll_pwait,,
eventfd2,,
exit,,
inotify_init1,,
inotify_add_watch,,
inotify_rm_watch,,
pselect6,,
ppoll,,
process_vm_readv,,
set_tid_address,,
setfsgid,,
setfsuid,,
sethostname,,
waitid,,
set_thread_area,,
getrandom,,
SYS_302,,
SYS_303,,
SYS_304,,
SYS_309,,
SYS_313,,
SYS_320,,
SYS_321,,
SYS_322,,
SYS_323,,
SYS_324,,
SYS_325,,
SYS_326,,
SYS_327,,
SYS_330,,
SYS_332,,
SYS_334,,
SYS_337,,
SYS_338,,
SYS_344,,
SYS_345,,
SYS_347,,
SYS_348,,
SYS_350,,
SYS_351,,
SYS_352,,
SYS_353,,
SYS_354,,
SYS_355,,
SYS_356,,
SYS_357,,
SYS_358,,
SYS_360,,
SYS_361,,
SYS_362,,
SYS_363,,
SYS_364,,
SYS_365,,
SYS_366,,
SYS_368,,
SYS_369,,
ACCEPT_HANDOVER,,
ADD_VOICEMAIL,,
BIND_CALL_REDIRECTION_SERVICE,,
BIND_CARRIER_MESSAGING_CLIENT_SERVICE,,
BIND_CARRIER_MESSAGING_SERVICE,,
BIND_CONDITION_PROVIDER_SERVICE,,
BIND_CONTROLS,,
BIND_QUICK_ACCESS_WALLET_SERVICE,,
BIND_VISUAL_VOICEMAIL_SERVICE,,
BIND_VR_LISTENER_SERVICE,,
CALL_COMPANION_APP,,
INSTANT_APP_FOREGROUND_SERVICE,,
LOADER_USAGE_STATS,,
MANAGE_EXTERNAL_STORAGE,,
NFC_PREFERRED_PAYMENT_INFO,,
NFC_TRANSACTION_EVENT,,
READ_VOICEMAIL,,
REQUEST_COMPANION_RUN_IN_BACKGROUND,,
REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,,
SMS_FINANCIAL_TRANSACTIONS,,
START_VIEW_PERMISSION_USAGE,,
WRITE_VOICEMAIL,,
NrContactedIps,,
